Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,link,id
4/22/2012,at,Baylor,L,5-7,39,5,11,4,2,0,0,1,0,0,1,1,0,0,0,7,24,12,3,.282,/boxscore.aspx?id=649&path=baseball,649
4/21/2012,at,Baylor,L,0-1,31,0,5,0,1,0,0,0,0,1,0,0,0,0,1,7,24,7,0,.161,/boxscore.aspx?id=648&path=baseball,648
4/20/2012,,Baylor,L,3-5,35,3,8,3,0,1,0,1,0,2,0,1,0,0,2,6,27,14,3,.229,/boxscore.aspx?id=647&path=baseball,647
4/17/2012,,Rice,L,4-5,34,4,6,4,1,1,0,3,0,2,0,1,1,0,0,11,27,10,3,.176,/boxscore.aspx?id=646&path=baseball,646
4/15/2012,at,Kansas,L,3-5,35,3,8,2,0,0,0,5,0,1,0,3,0,0,0,7,24,13,0,.229,/boxscore.aspx?id=645&path=baseball,645
4/14/2012,at,Kansas,W,6-4,30,6,12,6,0,1,0,4,0,2,1,3,3,2,1,5,27,8,1,.400,/boxscore.aspx?id=644&path=baseball,644
4/13/2012,at,Kansas,W,8-0,37,8,11,7,1,0,1,1,0,2,0,0,0,1,1,7,27,12,0,.297,/boxscore.aspx?id=643&path=baseball,643
4/10/2012,,UT Arlington,L,2-3,35,2,10,2,3,0,1,3,0,1,1,2,0,0,0,5,27,12,0,.286,/boxscore.aspx?id=642&path=baseball,642
4/7/2012,,Oklahoma,W,5-3,28,5,8,5,1,0,0,3,0,0,0,1,1,2,1,8,27,14,2,.286,/boxscore.aspx?id=641&path=baseball,641
4/6/2012,,Oklahoma,W,5-2,33,5,10,4,2,0,1,0,0,0,0,0,1,1,0,4,27,13,0,.303,/boxscore.aspx?id=640&path=baseball,640
4/5/2012,,Oklahoma,W,4-3,37,4,8,3,0,0,0,7,0,1,0,0,1,2,1,9,36,18,3,.216,/boxscore.aspx?id=639&path=baseball,639
4/3/2012,,UTSA,W,4-3,24,4,7,4,2,0,1,5,0,3,0,0,1,0,0,6,21,6,1,.292,/boxscore.aspx?id=638&path=baseball,638
4/1/2012,,Missouri,W,7-6,35,7,13,6,1,0,0,8,0,3,2,2,2,0,0,3,27,7,2,.371,/boxscore.aspx?id=634&path=baseball,634
3/31/2012,,Missouri,L,3-4,32,3,7,3,1,0,0,2,0,0,1,2,0,0,0,3,27,14,0,.219,/boxscore.aspx?id=630&path=baseball,630
3/30/2012,,Missouri,W,8-6,34,8,9,6,1,0,1,6,1,4,1,2,1,0,0,9,27,16,1,.265,/boxscore.aspx?id=627&path=baseball,627
3/27/2012,,Houston Baptist,W,7-2,34,7,14,7,1,1,0,1,0,3,3,0,0,0,1,3,27,11,1,.412,/boxscore.aspx?id=622&path=baseball,622
3/24/2012,at,Pepperdine,W,12-5,39,12,15,9,4,1,1,7,0,2,1,1,1,1,0,6,27,9,1,.385,/boxscore.aspx?id=619&path=baseball,619
3/24/2012,at,Pepperdine,W,9-2,38,9,13,7,0,1,0,4,0,3,0,0,0,0,3,5,27,8,0,.342,/boxscore.aspx?id=614&path=baseball,614
3/23/2012,at,Pepperdine,W,4-0,32,4,7,3,3,0,0,3,0,1,0,0,1,0,1,8,27,13,1,.219,/boxscore.aspx?id=610&path=baseball,610
3/18/2012,,Kansas State,W,7-2,32,7,11,7,2,1,1,5,1,3,1,1,1,0,0,6,27,13,2,.344,/boxscore.aspx?id=603&path=baseball,603
3/17/2012,,Kansas State,W,9-2,30,9,10,9,1,0,2,6,0,1,1,1,2,0,1,3,27,13,1,.333,/boxscore.aspx?id=597&path=baseball,597
3/16/2012,,Kansas State,L,12-15,37,12,13,12,1,1,1,8,0,4,2,1,0,1,0,9,27,16,3,.351,/boxscore.aspx?id=593&path=baseball,593
3/14/2012,,Texas-Pan American,L,2-5,33,2,5,1,1,0,0,2,0,1,1,0,0,0,0,5,27,13,3,.152,/boxscore.aspx?id=587&path=baseball,587
3/13/2012,,Texas-Pan American,W,10-4,30,10,11,8,6,0,0,6,0,3,0,2,1,3,1,6,27,13,1,.367,/boxscore.aspx?id=582&path=baseball,582
3/11/2012,,Cal State Fullerton,L,3-4,33,3,8,3,1,0,0,3,0,2,1,0,0,0,0,9,27,11,3,.242,/boxscore.aspx?id=578&path=baseball,578
3/10/2012,,Cal State Fullerton,L,5-6,37,5,10,5,1,1,0,1,0,1,1,0,4,0,0,10,33,16,4,.270,/boxscore.aspx?id=572&path=baseball,572
3/9/2012,,Cal State Fullerton,W,6-1,35,6,13,6,1,0,0,2,0,4,1,0,0,1,0,8,27,7,3,.371,/boxscore.aspx?id=567&path=baseball,567
3/6/2012,,Prairie View A&M,W,10-1,36,10,16,10,2,0,0,6,0,3,3,1,0,0,0,6,27,9,0,.444,/boxscore.aspx?id=562&path=baseball,562
3/4/2012,,Michigan State,W,9-8,36,9,11,8,1,3,0,5,0,3,0,4,0,0,1,6,27,14,3,.306,/boxscore.aspx?id=557&path=baseball,557
3/3/2012,,Michigan State,W,4-0,28,4,5,4,0,0,0,4,0,1,2,1,1,1,0,5,27,12,2,.179,/boxscore.aspx?id=553&path=baseball,553
3/2/2012,,Michigan State,W,7-3,34,7,12,7,3,1,0,3,0,7,0,1,0,2,0,5,27,14,1,.353,/boxscore.aspx?id=547&path=baseball,547
2/29/2012,,Northwestern State,W,8-1,40,8,15,6,1,0,0,1,0,2,0,1,0,0,1,4,27,12,0,.375,/boxscore.aspx?id=542&path=baseball,542
2/28/2012,,Northwestern State,W,14-10,37,14,16,13,1,0,0,3,0,3,0,3,2,1,0,4,27,13,2,.432,/boxscore.aspx?id=536&path=baseball,536
2/26/2012,,Holy Cross,W,8-2,26,8,9,8,3,0,0,3,0,1,0,2,2,3,0,3,27,10,0,.346,/boxscore.aspx?id=532&path=baseball,532
